Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps	Episode	Accumulated Reward	Average Reward	Length	Steps
260	-59	-0.9516129032258065	62	4514	260	-59	-0.9516129032258065	62	4514	260	-59	-0.9516129032258065	62	4514	260	-59	-0.9516129032258065	62	4514	260	-59	-0.9516129032258065	62	4514	260	-59	-0.9516129032258065	62	4514	260	-59	-0.9516129032258065	62	4514	260	-59	-0.9516129032258065	62	4514	260	-59	-0.9516129032258065	62	4514	260	-59	-0.9516129032258065	62	4514	260	-59	-0.9516129032258065	62	4514	260	-59	-0.9516129032258065	62	4514	260	-59	-0.9516129032258065	62	4514	260	-59	-0.9516129032258065	62	4514	260	-59	-0.9516129032258065	62	4514
261	-100	-50.0	2	4516	261	-100	-50.0	2	4516	261	-100	-50.0	2	4516	261	-100	-50.0	2	4516	261	-100	-50.0	2	4516	261	-100	-50.0	2	4516	261	-100	-50.0	2	4516	261	-100	-50.0	2	4516	261	-100	-50.0	2	4516	261	-100	-50.0	2	4516	261	-100	-50.0	2	4516	261	-100	-50.0	2	4516	261	-100	-50.0	2	4516	261	-100	-50.0	2	4516	261	-100	-50.0	2	4516
262	-103	-20.6	5	4521	262	-103	-20.6	5	4521	262	-103	-20.6	5	4521	262	-103	-20.6	5	4521	262	-103	-20.6	5	4521	262	-103	-20.6	5	4521	262	-103	-20.6	5	4521	262	-103	-20.6	5	4521	262	-103	-20.6	5	4521	262	-103	-20.6	5	4521	262	-103	-20.6	5	4521	262	-103	-20.6	5	4521	262	-103	-20.6	5	4521	262	-103	-20.6	5	4521	262	-103	-20.6	5	4521
263	-15	-0.8333333333333334	18	4539	263	-15	-0.8333333333333334	18	4539	263	-15	-0.8333333333333334	18	4539	263	-15	-0.8333333333333334	18	4539	263	-15	-0.8333333333333334	18	4539	263	-15	-0.8333333333333334	18	4539	263	-15	-0.8333333333333334	18	4539	263	-15	-0.8333333333333334	18	4539	263	-15	-0.8333333333333334	18	4539	263	-15	-0.8333333333333334	18	4539	263	-15	-0.8333333333333334	18	4539	263	-15	-0.8333333333333334	18	4539	263	-15	-0.8333333333333334	18	4539	263	-15	-0.8333333333333334	18	4539	263	-15	-0.8333333333333334	18	4539
264	-100	-50.0	2	4541	264	-100	-50.0	2	4541	264	-100	-50.0	2	4541	264	-100	-50.0	2	4541	264	-100	-50.0	2	4541	264	-100	-50.0	2	4541	264	-100	-50.0	2	4541	264	-100	-50.0	2	4541	264	-100	-50.0	2	4541	264	-100	-50.0	2	4541	264	-100	-50.0	2	4541	264	-100	-50.0	2	4541	264	-100	-50.0	2	4541	264	-100	-50.0	2	4541	264	-100	-50.0	2	4541
265	-100	-50.0	2	4543	265	-100	-50.0	2	4543	265	-100	-50.0	2	4543	265	-100	-50.0	2	4543	265	-100	-50.0	2	4543	265	-100	-50.0	2	4543	265	-100	-50.0	2	4543	265	-100	-50.0	2	4543	265	-100	-50.0	2	4543	265	-100	-50.0	2	4543	265	-100	-50.0	2	4543	265	-100	-50.0	2	4543	265	-100	-50.0	2	4543	265	-100	-50.0	2	4543	265	-100	-50.0	2	4543
266	-119	-5.666666666666667	21	4564	266	-119	-5.666666666666667	21	4564	266	-119	-5.666666666666667	21	4564	266	-119	-5.666666666666667	21	4564	266	-119	-5.666666666666667	21	4564	266	-119	-5.666666666666667	21	4564	266	-119	-5.666666666666667	21	4564	266	-119	-5.666666666666667	21	4564	266	-119	-5.666666666666667	21	4564	266	-119	-5.666666666666667	21	4564	266	-119	-5.666666666666667	21	4564	266	-119	-5.666666666666667	21	4564	266	-119	-5.666666666666667	21	4564	266	-119	-5.666666666666667	21	4564	266	-119	-5.666666666666667	21	4564
267	-100	-50.0	2	4566	267	-100	-50.0	2	4566	267	-100	-50.0	2	4566	267	-100	-50.0	2	4566	267	-100	-50.0	2	4566	267	-100	-50.0	2	4566	267	-100	-50.0	2	4566	267	-100	-50.0	2	4566	267	-100	-50.0	2	4566	267	-100	-50.0	2	4566	267	-100	-50.0	2	4566	267	-100	-50.0	2	4566	267	-100	-50.0	2	4566	267	-100	-50.0	2	4566	267	-100	-50.0	2	4566
268	-164	-2.484848484848485	66	4632	268	-164	-2.484848484848485	66	4632	268	-164	-2.484848484848485	66	4632	268	-164	-2.484848484848485	66	4632	268	-164	-2.484848484848485	66	4632	268	-164	-2.484848484848485	66	4632	268	-164	-2.484848484848485	66	4632	268	-164	-2.484848484848485	66	4632	268	-164	-2.484848484848485	66	4632	268	-164	-2.484848484848485	66	4632	268	-164	-2.484848484848485	66	4632	268	-164	-2.484848484848485	66	4632	268	-164	-2.484848484848485	66	4632	268	-164	-2.484848484848485	66	4632	268	-164	-2.484848484848485	66	4632
269	-101	-33.666666666666664	3	4635	269	-101	-33.666666666666664	3	4635	269	-101	-33.666666666666664	3	4635	269	-101	-33.666666666666664	3	4635	269	-101	-33.666666666666664	3	4635	269	-101	-33.666666666666664	3	4635	269	-101	-33.666666666666664	3	4635	269	-101	-33.666666666666664	3	4635	269	-101	-33.666666666666664	3	4635	269	-101	-33.666666666666664	3	4635	269	-101	-33.666666666666664	3	4635	269	-101	-33.666666666666664	3	4635	269	-101	-33.666666666666664	3	4635	269	-101	-33.666666666666664	3	4635	269	-101	-33.666666666666664	3	4635
270	-103	-20.6	5	4640	270	-103	-20.6	5	4640	270	-103	-20.6	5	4640	270	-103	-20.6	5	4640	270	-103	-20.6	5	4640	270	-103	-20.6	5	4640	270	-103	-20.6	5	4640	270	-103	-20.6	5	4640	270	-103	-20.6	5	4640	270	-103	-20.6	5	4640	270	-103	-20.6	5	4640	270	-103	-20.6	5	4640	270	-103	-20.6	5	4640	270	-103	-20.6	5	4640	270	-103	-20.6	5	4640
271	-124	-4.769230769230769	26	4666	271	-124	-4.769230769230769	26	4666	271	-124	-4.769230769230769	26	4666	271	-124	-4.769230769230769	26	4666	271	-124	-4.769230769230769	26	4666	271	-124	-4.769230769230769	26	4666	271	-124	-4.769230769230769	26	4666	271	-124	-4.769230769230769	26	4666	271	-124	-4.769230769230769	26	4666	271	-124	-4.769230769230769	26	4666	271	-124	-4.769230769230769	26	4666	271	-124	-4.769230769230769	26	4666	271	-124	-4.769230769230769	26	4666	271	-124	-4.769230769230769	26	4666	271	-124	-4.769230769230769	26	4666
272	-100	-50.0	2	4668	272	-100	-50.0	2	4668	272	-100	-50.0	2	4668	272	-100	-50.0	2	4668	272	-100	-50.0	2	4668	272	-100	-50.0	2	4668	272	-100	-50.0	2	4668	272	-100	-50.0	2	4668	272	-100	-50.0	2	4668	272	-100	-50.0	2	4668	272	-100	-50.0	2	4668	272	-100	-50.0	2	4668	272	-100	-50.0	2	4668	272	-100	-50.0	2	4668	272	-100	-50.0	2	4668
273	-104	-17.333333333333332	6	4674	273	-104	-17.333333333333332	6	4674	273	-104	-17.333333333333332	6	4674	273	-104	-17.333333333333332	6	4674	273	-104	-17.333333333333332	6	4674	273	-104	-17.333333333333332	6	4674	273	-104	-17.333333333333332	6	4674	273	-104	-17.333333333333332	6	4674	273	-104	-17.333333333333332	6	4674	273	-104	-17.333333333333332	6	4674	273	-104	-17.333333333333332	6	4674	273	-104	-17.333333333333332	6	4674	273	-104	-17.333333333333332	6	4674	273	-104	-17.333333333333332	6	4674	273	-104	-17.333333333333332	6	4674
274	-109	-9.909090909090908	11	4685	274	-109	-9.909090909090908	11	4685	274	-109	-9.909090909090908	11	4685	274	-109	-9.909090909090908	11	4685	274	-109	-9.909090909090908	11	4685	274	-109	-9.909090909090908	11	4685	274	-109	-9.909090909090908	11	4685	274	-109	-9.909090909090908	11	4685	274	-109	-9.909090909090908	11	4685	274	-109	-9.909090909090908	11	4685	274	-109	-9.909090909090908	11	4685	274	-109	-9.909090909090908	11	4685	274	-109	-9.909090909090908	11	4685	274	-109	-9.909090909090908	11	4685	274	-109	-9.909090909090908	11	4685
275	-104	-0.9719626168224299	107	4792	275	-104	-0.9719626168224299	107	4792	275	-104	-0.9719626168224299	107	4792	275	-104	-0.9719626168224299	107	4792	275	-104	-0.9719626168224299	107	4792	275	-104	-0.9719626168224299	107	4792	275	-104	-0.9719626168224299	107	4792	275	-104	-0.9719626168224299	107	4792	275	-104	-0.9719626168224299	107	4792	275	-104	-0.9719626168224299	107	4792	275	-104	-0.9719626168224299	107	4792	275	-104	-0.9719626168224299	107	4792	275	-104	-0.9719626168224299	107	4792	275	-104	-0.9719626168224299	107	4792	275	-104	-0.9719626168224299	107	4792
276	-125	-4.62962962962963	27	4819	276	-125	-4.62962962962963	27	4819	276	-125	-4.62962962962963	27	4819	276	-125	-4.62962962962963	27	4819	276	-125	-4.62962962962963	27	4819	276	-125	-4.62962962962963	27	4819	276	-125	-4.62962962962963	27	4819	276	-125	-4.62962962962963	27	4819	276	-125	-4.62962962962963	27	4819	276	-125	-4.62962962962963	27	4819	276	-125	-4.62962962962963	27	4819	276	-125	-4.62962962962963	27	4819	276	-125	-4.62962962962963	27	4819	276	-125	-4.62962962962963	27	4819	276	-125	-4.62962962962963	27	4819
277	-101	-33.666666666666664	3	4822	277	-101	-33.666666666666664	3	4822	277	-101	-33.666666666666664	3	4822	277	-101	-33.666666666666664	3	4822	277	-101	-33.666666666666664	3	4822	277	-101	-33.666666666666664	3	4822	277	-101	-33.666666666666664	3	4822	277	-101	-33.666666666666664	3	4822	277	-101	-33.666666666666664	3	4822	277	-101	-33.666666666666664	3	4822	277	-101	-33.666666666666664	3	4822	277	-101	-33.666666666666664	3	4822	277	-101	-33.666666666666664	3	4822	277	-101	-33.666666666666664	3	4822	277	-101	-33.666666666666664	3	4822
278	-105	-15.0	7	4829	278	-105	-15.0	7	4829	278	-105	-15.0	7	4829	278	-105	-15.0	7	4829	278	-105	-15.0	7	4829	278	-105	-15.0	7	4829	278	-105	-15.0	7	4829	278	-105	-15.0	7	4829	278	-105	-15.0	7	4829	278	-105	-15.0	7	4829	278	-105	-15.0	7	4829	278	-105	-15.0	7	4829	278	-105	-15.0	7	4829	278	-105	-15.0	7	4829	278	-105	-15.0	7	4829
279	-130	-4.0625	32	4861	279	-130	-4.0625	32	4861	279	-130	-4.0625	32	4861	279	-130	-4.0625	32	4861	279	-130	-4.0625	32	4861	279	-130	-4.0625	32	4861	279	-130	-4.0625	32	4861	279	-130	-4.0625	32	4861	279	-130	-4.0625	32	4861	279	-130	-4.0625	32	4861	279	-130	-4.0625	32	4861	279	-130	-4.0625	32	4861	279	-130	-4.0625	32	4861	279	-130	-4.0625	32	4861	279	-130	-4.0625	32	4861
280	-100	-50.0	2	4863	280	-100	-50.0	2	4863	280	-100	-50.0	2	4863	280	-100	-50.0	2	4863	280	-100	-50.0	2	4863	280	-100	-50.0	2	4863	280	-100	-50.0	2	4863	280	-100	-50.0	2	4863	280	-100	-50.0	2	4863	280	-100	-50.0	2	4863	280	-100	-50.0	2	4863	280	-100	-50.0	2	4863	280	-100	-50.0	2	4863	280	-100	-50.0	2	4863	280	-100	-50.0	2	4863
281	-107	-11.88888888888889	9	4872	281	-107	-11.88888888888889	9	4872	281	-107	-11.88888888888889	9	4872	281	-107	-11.88888888888889	9	4872	281	-107	-11.88888888888889	9	4872	281	-107	-11.88888888888889	9	4872	281	-107	-11.88888888888889	9	4872	281	-107	-11.88888888888889	9	4872	281	-107	-11.88888888888889	9	4872	281	-107	-11.88888888888889	9	4872	281	-107	-11.88888888888889	9	4872	281	-107	-11.88888888888889	9	4872	281	-107	-11.88888888888889	9	4872	281	-107	-11.88888888888889	9	4872	281	-107	-11.88888888888889	9	4872
282	-119	-5.666666666666667	21	4893	282	-119	-5.666666666666667	21	4893	282	-119	-5.666666666666667	21	4893	282	-119	-5.666666666666667	21	4893	282	-119	-5.666666666666667	21	4893	282	-119	-5.666666666666667	21	4893	282	-119	-5.666666666666667	21	4893	282	-119	-5.666666666666667	21	4893	282	-119	-5.666666666666667	21	4893	282	-119	-5.666666666666667	21	4893	282	-119	-5.666666666666667	21	4893	282	-119	-5.666666666666667	21	4893	282	-119	-5.666666666666667	21	4893	282	-119	-5.666666666666667	21	4893	282	-119	-5.666666666666667	21	4893
283	-100	-50.0	2	4895	283	-100	-50.0	2	4895	283	-100	-50.0	2	4895	283	-100	-50.0	2	4895	283	-100	-50.0	2	4895	283	-100	-50.0	2	4895	283	-100	-50.0	2	4895	283	-100	-50.0	2	4895	283	-100	-50.0	2	4895	283	-100	-50.0	2	4895	283	-100	-50.0	2	4895	283	-100	-50.0	2	4895	283	-100	-50.0	2	4895	283	-100	-50.0	2	4895	283	-100	-50.0	2	4895
284	-103	-20.6	5	4900	284	-103	-20.6	5	4900	284	-103	-20.6	5	4900	284	-103	-20.6	5	4900	284	-103	-20.6	5	4900	284	-103	-20.6	5	4900	284	-103	-20.6	5	4900	284	-103	-20.6	5	4900	284	-103	-20.6	5	4900	284	-103	-20.6	5	4900	284	-103	-20.6	5	4900	284	-103	-20.6	5	4900	284	-103	-20.6	5	4900	284	-103	-20.6	5	4900	284	-103	-20.6	5	4900
285	-103	-20.6	5	4905	285	-103	-20.6	5	4905	285	-103	-20.6	5	4905	285	-103	-20.6	5	4905	285	-103	-20.6	5	4905	285	-103	-20.6	5	4905	285	-103	-20.6	5	4905	285	-103	-20.6	5	4905	285	-103	-20.6	5	4905	285	-103	-20.6	5	4905	285	-103	-20.6	5	4905	285	-103	-20.6	5	4905	285	-103	-20.6	5	4905	285	-103	-20.6	5	4905	285	-103	-20.6	5	4905
286	-19	-0.8636363636363636	22	4927	286	-19	-0.8636363636363636	22	4927	286	-19	-0.8636363636363636	22	4927	286	-19	-0.8636363636363636	22	4927	286	-19	-0.8636363636363636	22	4927	286	-19	-0.8636363636363636	22	4927	286	-19	-0.8636363636363636	22	4927	286	-19	-0.8636363636363636	22	4927	286	-19	-0.8636363636363636	22	4927	286	-19	-0.8636363636363636	22	4927	286	-19	-0.8636363636363636	22	4927	286	-19	-0.8636363636363636	22	4927	286	-19	-0.8636363636363636	22	4927	286	-19	-0.8636363636363636	22	4927	286	-19	-0.8636363636363636	22	4927
287	-118	-5.9	20	4947	287	-118	-5.9	20	4947	287	-118	-5.9	20	4947	287	-118	-5.9	20	4947	287	-118	-5.9	20	4947	287	-118	-5.9	20	4947	287	-118	-5.9	20	4947	287	-118	-5.9	20	4947	287	-118	-5.9	20	4947	287	-118	-5.9	20	4947	287	-118	-5.9	20	4947	287	-118	-5.9	20	4947	287	-118	-5.9	20	4947	287	-118	-5.9	20	4947	287	-118	-5.9	20	4947
288	-58	-0.9508196721311475	61	5008	288	-58	-0.9508196721311475	61	5008	288	-58	-0.9508196721311475	61	5008	288	-58	-0.9508196721311475	61	5008	288	-58	-0.9508196721311475	61	5008	288	-58	-0.9508196721311475	61	5008	288	-58	-0.9508196721311475	61	5008	288	-58	-0.9508196721311475	61	5008	288	-58	-0.9508196721311475	61	5008	288	-58	-0.9508196721311475	61	5008	288	-58	-0.9508196721311475	61	5008	288	-58	-0.9508196721311475	61	5008	288	-58	-0.9508196721311475	61	5008	288	-58	-0.9508196721311475	61	5008	288	-58	-0.9508196721311475	61	5008
289	-116	-6.444444444444445	18	5026	289	-116	-6.444444444444445	18	5026	289	-116	-6.444444444444445	18	5026	289	-116	-6.444444444444445	18	5026	289	-116	-6.444444444444445	18	5026	289	-116	-6.444444444444445	18	5026	289	-116	-6.444444444444445	18	5026	289	-116	-6.444444444444445	18	5026	289	-116	-6.444444444444445	18	5026	289	-116	-6.444444444444445	18	5026	289	-116	-6.444444444444445	18	5026	289	-116	-6.444444444444445	18	5026	289	-116	-6.444444444444445	18	5026	289	-116	-6.444444444444445	18	5026	289	-116	-6.444444444444445	18	5026
290	-113	-7.533333333333333	15	5041	290	-113	-7.533333333333333	15	5041	290	-113	-7.533333333333333	15	5041	290	-113	-7.533333333333333	15	5041	290	-113	-7.533333333333333	15	5041	290	-113	-7.533333333333333	15	5041	290	-113	-7.533333333333333	15	5041	290	-113	-7.533333333333333	15	5041	290	-113	-7.533333333333333	15	5041	290	-113	-7.533333333333333	15	5041	290	-113	-7.533333333333333	15	5041	290	-113	-7.533333333333333	15	5041	290	-113	-7.533333333333333	15	5041	290	-113	-7.533333333333333	15	5041	290	-113	-7.533333333333333	15	5041
291	-131	-3.9696969696969697	33	5074	291	-131	-3.9696969696969697	33	5074	291	-131	-3.9696969696969697	33	5074	291	-131	-3.9696969696969697	33	5074	291	-131	-3.9696969696969697	33	5074	291	-131	-3.9696969696969697	33	5074	291	-131	-3.9696969696969697	33	5074	291	-131	-3.9696969696969697	33	5074	291	-131	-3.9696969696969697	33	5074	291	-131	-3.9696969696969697	33	5074	291	-131	-3.9696969696969697	33	5074	291	-131	-3.9696969696969697	33	5074	291	-131	-3.9696969696969697	33	5074	291	-131	-3.9696969696969697	33	5074	291	-131	-3.9696969696969697	33	5074
292	-100	-50.0	2	5076	292	-100	-50.0	2	5076	292	-100	-50.0	2	5076	292	-100	-50.0	2	5076	292	-100	-50.0	2	5076	292	-100	-50.0	2	5076	292	-100	-50.0	2	5076	292	-100	-50.0	2	5076	292	-100	-50.0	2	5076	292	-100	-50.0	2	5076	292	-100	-50.0	2	5076	292	-100	-50.0	2	5076	292	-100	-50.0	2	5076	292	-100	-50.0	2	5076	292	-100	-50.0	2	5076
293	-100	-50.0	2	5078	293	-100	-50.0	2	5078	293	-100	-50.0	2	5078	293	-100	-50.0	2	5078	293	-100	-50.0	2	5078	293	-100	-50.0	2	5078	293	-100	-50.0	2	5078	293	-100	-50.0	2	5078	293	-100	-50.0	2	5078	293	-100	-50.0	2	5078	293	-100	-50.0	2	5078	293	-100	-50.0	2	5078	293	-100	-50.0	2	5078	293	-100	-50.0	2	5078	293	-100	-50.0	2	5078
294	-105	-15.0	7	5085	294	-105	-15.0	7	5085	294	-105	-15.0	7	5085	294	-105	-15.0	7	5085	294	-105	-15.0	7	5085	294	-105	-15.0	7	5085	294	-105	-15.0	7	5085	294	-105	-15.0	7	5085	294	-105	-15.0	7	5085	294	-105	-15.0	7	5085	294	-105	-15.0	7	5085	294	-105	-15.0	7	5085	294	-105	-15.0	7	5085	294	-105	-15.0	7	5085	294	-105	-15.0	7	5085
295	-100	-50.0	2	5087	295	-100	-50.0	2	5087	295	-100	-50.0	2	5087	295	-100	-50.0	2	5087	295	-100	-50.0	2	5087	295	-100	-50.0	2	5087	295	-100	-50.0	2	5087	295	-100	-50.0	2	5087	295	-100	-50.0	2	5087	295	-100	-50.0	2	5087	295	-100	-50.0	2	5087	295	-100	-50.0	2	5087	295	-100	-50.0	2	5087	295	-100	-50.0	2	5087	295	-100	-50.0	2	5087
296	-172	-2.324324324324324	74	5161	296	-172	-2.324324324324324	74	5161	296	-172	-2.324324324324324	74	5161	296	-172	-2.324324324324324	74	5161	296	-172	-2.324324324324324	74	5161	296	-172	-2.324324324324324	74	5161	296	-172	-2.324324324324324	74	5161	296	-172	-2.324324324324324	74	5161	296	-172	-2.324324324324324	74	5161	296	-172	-2.324324324324324	74	5161	296	-172	-2.324324324324324	74	5161	296	-172	-2.324324324324324	74	5161	296	-172	-2.324324324324324	74	5161	296	-172	-2.324324324324324	74	5161	296	-172	-2.324324324324324	74	5161
297	-100	-50.0	2	5163	297	-100	-50.0	2	5163	297	-100	-50.0	2	5163	297	-100	-50.0	2	5163	297	-100	-50.0	2	5163	297	-100	-50.0	2	5163	297	-100	-50.0	2	5163	297	-100	-50.0	2	5163	297	-100	-50.0	2	5163	297	-100	-50.0	2	5163	297	-100	-50.0	2	5163	297	-100	-50.0	2	5163	297	-100	-50.0	2	5163	297	-100	-50.0	2	5163	297	-100	-50.0	2	5163
298	-106	-13.25	8	5171	298	-106	-13.25	8	5171	298	-106	-13.25	8	5171	298	-106	-13.25	8	5171	298	-106	-13.25	8	5171	298	-106	-13.25	8	5171	298	-106	-13.25	8	5171	298	-106	-13.25	8	5171	298	-106	-13.25	8	5171	298	-106	-13.25	8	5171	298	-106	-13.25	8	5171	298	-106	-13.25	8	5171	298	-106	-13.25	8	5171	298	-106	-13.25	8	5171	298	-106	-13.25	8	5171
299	-127	-4.379310344827586	29	5200	299	-127	-4.379310344827586	29	5200	299	-127	-4.379310344827586	29	5200	299	-127	-4.379310344827586	29	5200	299	-127	-4.379310344827586	29	5200	299	-127	-4.379310344827586	29	5200	299	-127	-4.379310344827586	29	5200	299	-127	-4.379310344827586	29	5200	299	-127	-4.379310344827586	29	5200	299	-127	-4.379310344827586	29	5200	299	-127	-4.379310344827586	29	5200	299	-127	-4.379310344827586	29	5200	299	-127	-4.379310344827586	29	5200	299	-127	-4.379310344827586	29	5200	299	-127	-4.379310344827586	29	5200
300	-118	-5.9	20	5220	300	-118	-5.9	20	5220	300	-118	-5.9	20	5220	300	-118	-5.9	20	5220	300	-118	-5.9	20	5220	300	-118	-5.9	20	5220	300	-118	-5.9	20	5220	300	-118	-5.9	20	5220	300	-118	-5.9	20	5220	300	-118	-5.9	20	5220	300	-118	-5.9	20	5220	300	-118	-5.9	20	5220	300	-118	-5.9	20	5220	300	-118	-5.9	20	5220	300	-118	-5.9	20	5220
301	-108	-10.8	10	5230	301	-108	-10.8	10	5230	301	-108	-10.8	10	5230	301	-108	-10.8	10	5230	301	-108	-10.8	10	5230	301	-108	-10.8	10	5230	301	-108	-10.8	10	5230	301	-108	-10.8	10	5230	301	-108	-10.8	10	5230	301	-108	-10.8	10	5230	301	-108	-10.8	10	5230	301	-108	-10.8	10	5230	301	-108	-10.8	10	5230	301	-108	-10.8	10	5230	301	-108	-10.8	10	5230
302	-100	-50.0	2	5232	302	-100	-50.0	2	5232	302	-100	-50.0	2	5232	302	-100	-50.0	2	5232	302	-100	-50.0	2	5232	302	-100	-50.0	2	5232	302	-100	-50.0	2	5232	302	-100	-50.0	2	5232	302	-100	-50.0	2	5232	302	-100	-50.0	2	5232	302	-100	-50.0	2	5232	302	-100	-50.0	2	5232	302	-100	-50.0	2	5232	302	-100	-50.0	2	5232	302	-100	-50.0	2	5232
303	-101	-33.666666666666664	3	5235	303	-101	-33.666666666666664	3	5235	303	-101	-33.666666666666664	3	5235	303	-101	-33.666666666666664	3	5235	303	-101	-33.666666666666664	3	5235	303	-101	-33.666666666666664	3	5235	303	-101	-33.666666666666664	3	5235	303	-101	-33.666666666666664	3	5235	303	-101	-33.666666666666664	3	5235	303	-101	-33.666666666666664	3	5235	303	-101	-33.666666666666664	3	5235	303	-101	-33.666666666666664	3	5235	303	-101	-33.666666666666664	3	5235	303	-101	-33.666666666666664	3	5235	303	-101	-33.666666666666664	3	5235
304	-108	-10.8	10	5245	304	-108	-10.8	10	5245	304	-108	-10.8	10	5245	304	-108	-10.8	10	5245	304	-108	-10.8	10	5245	304	-108	-10.8	10	5245	304	-108	-10.8	10	5245	304	-108	-10.8	10	5245	304	-108	-10.8	10	5245	304	-108	-10.8	10	5245	304	-108	-10.8	10	5245	304	-108	-10.8	10	5245	304	-108	-10.8	10	5245	304	-108	-10.8	10	5245	304	-108	-10.8	10	5245
305	-128	-4.266666666666667	30	5275	305	-128	-4.266666666666667	30	5275	305	-128	-4.266666666666667	30	5275	305	-128	-4.266666666666667	30	5275	305	-128	-4.266666666666667	30	5275	305	-128	-4.266666666666667	30	5275	305	-128	-4.266666666666667	30	5275	305	-128	-4.266666666666667	30	5275	305	-128	-4.266666666666667	30	5275	305	-128	-4.266666666666667	30	5275	305	-128	-4.266666666666667	30	5275	305	-128	-4.266666666666667	30	5275	305	-128	-4.266666666666667	30	5275	305	-128	-4.266666666666667	30	5275	305	-128	-4.266666666666667	30	5275
306	-82	-0.9647058823529412	85	5360	306	-82	-0.9647058823529412	85	5360	306	-82	-0.9647058823529412	85	5360	306	-82	-0.9647058823529412	85	5360	306	-82	-0.9647058823529412	85	5360	306	-82	-0.9647058823529412	85	5360	306	-82	-0.9647058823529412	85	5360	306	-82	-0.9647058823529412	85	5360	306	-82	-0.9647058823529412	85	5360	306	-82	-0.9647058823529412	85	5360	306	-82	-0.9647058823529412	85	5360	306	-82	-0.9647058823529412	85	5360	306	-82	-0.9647058823529412	85	5360	306	-82	-0.9647058823529412	85	5360	306	-82	-0.9647058823529412	85	5360
307	-102	-25.5	4	5364	307	-102	-25.5	4	5364	307	-102	-25.5	4	5364	307	-102	-25.5	4	5364	307	-102	-25.5	4	5364	307	-102	-25.5	4	5364	307	-102	-25.5	4	5364	307	-102	-25.5	4	5364	307	-102	-25.5	4	5364	307	-102	-25.5	4	5364	307	-102	-25.5	4	5364	307	-102	-25.5	4	5364	307	-102	-25.5	4	5364	307	-102	-25.5	4	5364	307	-102	-25.5	4	5364
308	-115	-6.764705882352941	17	5381	308	-115	-6.764705882352941	17	5381	308	-115	-6.764705882352941	17	5381	308	-115	-6.764705882352941	17	5381	308	-115	-6.764705882352941	17	5381	308	-115	-6.764705882352941	17	5381	308	-115	-6.764705882352941	17	5381	308	-115	-6.764705882352941	17	5381	308	-115	-6.764705882352941	17	5381	308	-115	-6.764705882352941	17	5381	308	-115	-6.764705882352941	17	5381	308	-115	-6.764705882352941	17	5381	308	-115	-6.764705882352941	17	5381	308	-115	-6.764705882352941	17	5381	308	-115	-6.764705882352941	17	5381
309	-26	-0.896551724137931	29	5410	309	-26	-0.896551724137931	29	5410	309	-26	-0.896551724137931	29	5410	309	-26	-0.896551724137931	29	5410	309	-26	-0.896551724137931	29	5410	309	-26	-0.896551724137931	29	5410	309	-26	-0.896551724137931	29	5410	309	-26	-0.896551724137931	29	5410	309	-26	-0.896551724137931	29	5410	309	-26	-0.896551724137931	29	5410	309	-26	-0.896551724137931	29	5410	309	-26	-0.896551724137931	29	5410	309	-26	-0.896551724137931	29	5410	309	-26	-0.896551724137931	29	5410	309	-26	-0.896551724137931	29	5410
310	-101	-33.666666666666664	3	5413	310	-101	-33.666666666666664	3	5413	310	-101	-33.666666666666664	3	5413	310	-101	-33.666666666666664	3	5413	310	-101	-33.666666666666664	3	5413	310	-101	-33.666666666666664	3	5413	310	-101	-33.666666666666664	3	5413	310	-101	-33.666666666666664	3	5413	310	-101	-33.666666666666664	3	5413	310	-101	-33.666666666666664	3	5413	310	-101	-33.666666666666664	3	5413	310	-101	-33.666666666666664	3	5413	310	-101	-33.666666666666664	3	5413	310	-101	-33.666666666666664	3	5413	310	-101	-33.666666666666664	3	5413
311	-100	-50.0	2	5415	311	-100	-50.0	2	5415	311	-100	-50.0	2	5415	311	-100	-50.0	2	5415	311	-100	-50.0	2	5415	311	-100	-50.0	2	5415	311	-100	-50.0	2	5415	311	-100	-50.0	2	5415	311	-100	-50.0	2	5415	311	-100	-50.0	2	5415	311	-100	-50.0	2	5415	311	-100	-50.0	2	5415	311	-100	-50.0	2	5415	311	-100	-50.0	2	5415	311	-100	-50.0	2	5415
312	-100	-50.0	2	5417	312	-100	-50.0	2	5417	312	-100	-50.0	2	5417	312	-100	-50.0	2	5417	312	-100	-50.0	2	5417	312	-100	-50.0	2	5417	312	-100	-50.0	2	5417	312	-100	-50.0	2	5417	312	-100	-50.0	2	5417	312	-100	-50.0	2	5417	312	-100	-50.0	2	5417	312	-100	-50.0	2	5417	312	-100	-50.0	2	5417	312	-100	-50.0	2	5417	312	-100	-50.0	2	5417
